entity	colour	bert
ash	grey	blue
banana	yellow	purple
beaver	brown	orange
blood	red	red
broccoli	green	pink
cardboard	brown	purple
carrot	orange	purple
cauliflower	white	pink
cello	brown	pink
chalk	white	purple
cherry	red	orange
cloud	white	purple
clover	green	purple
coal	black	purple
cockroach	brown	pink
coffee	brown	purple
corn	yellow	purple
cotton	white	purple
crow	black	purple
deer	brown	pink
dolphin	grey	purple
elephant	grey	orange
flour	white	purple
foam	white	pink
fog	grey	purple
forest	green	purple
froth	white	purple
garlic	white	purple
gold	yellow	yellow
gorilla	black	purple
grass	green	purple
lettuce	green	pink
mud	brown	purple
mustard	yellow	orange
parsley	green	orange
pig	pink	purple
salad	green	purple
sea	blue	blue
shadow	black	orange
silhouette	black	purple
sky	blue	blue
slate	grey	purple
snow	white	orange
soil	brown	purple
spinach	green	pink
strawberry	red	purple
swan	white	purple
tin	grey	purple
vinyl	black	pink
violin	brown	pink
weed	green	orange
wood	brown	blue
