text,label
"@ if it is unconfirmed, why do you tweet it?Footballcom EN
",0
"@ @ I love the service but this is classlessmashable. uber
",1
"@ Was the last person a human being? http://Independent. Peace On Earth
",1
"@ @ @ cut the BS they wanted to surge price now back tracking @ http://andrewv. bmac_ottawa. Uber Sydney. J_francis613
",1
"“@: MORE: France: Shooting, hostage-taking at kosher market in Paris; several reported wounded: http:// oh my.AP
",1
"@ @Sky News. Cosmo
",1
"@ you the fastest for breaking news...Kay Burley
",0
"@ children may not understand. Its the parents that are disrespectful. They should know better.foxandfriends. Patriots
",1
"@ @ @ you fool . We r not talking of Gaza. Anti semitsm and no laws anti protection of islamChusid. Dalia Chai. cnnbrk
",1
"@ Please stop releasing these pictures!The Anon Message
",1
"“@: Breaking: Gunman at Paris store threatens to kill hostages if suspects are harmed. http:// smhWSJ. Charlie Hebdo
",0
"@ @ seems like theres soo much about this case it gets confusing yet there isnt enough info??29plussome. Lisa Bloom
",0
"@ selling inbetweeners 2 car for comic relief please rt!! http://Mail Online. RND. rednoseday
",1
"BREAKING: Three hostages appear to have escaped the Sydney cafe where a siege remains ongoing. http://sydneyseige
",0
"“@: Watch video showing gunfire inside Canada's parliament in Ottawa http:// http:// Omg!BBC Breaking
",0
"Srry the whole holding the hostages &amp; threatening to kill them made me think it's extreme @ my bad. Jk ur dumb!Im Kamakase
",0
"""sorry to confirm"" 144 passengers &amp; 6 crew on board flight when it crashed in French Alps http://Germanwings. 4U9525
",0
"@ @ @ @ http://Suzanne Carbone. Julie O Marshall. Colvinius. Le Point
",1
"@ @ Yes, :( Still looking for the others.raymondillo. BBC Breaking
",1
"@ I have no issue with warning people whatsoever. But to take a photo, please!Henderburn
",0
"@ @ Your source is half right, there are 2 of em.Mark Sutcliffe. Sens Chirp
",0
"“@: Live Updates: Siege in Sydney Cafe http://Sky News
",0
"@ Which accounts?Armed Research
",0
"@ i am so fucking effraid nowCallum SR
",1
"@ @ @ @ Why wasn't Dorian Johnson arrested if he was suspected of a robbery?jlpauk. Tom. rui_xu. flavius217
",0
"@ The story is true.Michael Skolnik
",0
"@ @ wsy too many pc apologists with their heads up their arse . Should get ready to kiss it goodbyeDMY. Sky News Aust
",0
"@ @ @ @ I said teen not child but again, how is the pic relevant?Tracy Mo. at_the_foxhole. zadiaz. mashable
",1
": Robin names Andreas Lubitz as the copilot in the flight deck who crashed the aircraft.4U9525
",0
"@ http://BBC Breaking
",1
"@ Hope we will not to hear this kind of news once again!Ulrich Jv V
",1
"Five hostages have escaped the besieged Lindt Cafe in | Our latest update: http:// http://Sydney
",0
"@ @ @ Look at the time on each line. The altitudes are requested not achieved.Minus. flightradar24. isobelroe
",1
"@ @ he robbed swishers supposedlyBrwn Skin Girly. CNN Video
",0
"Three Scenarios For A Succession In by @ http:// via @ http:// v @Coalson R. RFERL. andersostlund. Russia. Putin
",1
"@ @ ExactlyIam Lauren Gill. DIANAZOGA
",0
"Awful. RT @: At least 12 dead in the Paris shooting. http:// http://WSJ. Charlie Hebdo
",0
"@ @ @ aw man! That got my funny bone!brofromanother. livenationon. masseyhall
",1
"@ exactly what i was thinkingpearlyfootball
",1
"@ @ What do you pay your drivers?Mr Odin. Uber Sydney
",0
"@ Damn the Muslims back to their version of the 'holy land.'Breaking
",1
