entity	colour	bert
ash	grey	blue
banana	yellow	orange
beaver	brown	orange
blood	red	red
broccoli	green	pink
cardboard	brown	orange
carrot	orange	grey
cauliflower	white	pink
cello	brown	pink
chalk	white	orange
cherry	red	orange
cloud	white	orange
clover	green	orange
coal	black	black
cockroach	brown	pink
coffee	brown	orange
corn	yellow	orange
cotton	white	white
crow	black	orange
deer	brown	pink
dolphin	grey	orange
elephant	grey	orange
flour	white	orange
foam	white	pink
fog	grey	orange
forest	green	red
froth	white	orange
garlic	white	orange
gold	yellow	yellow
gorilla	black	orange
grass	green	pink
lettuce	green	pink
mud	brown	orange
mustard	yellow	orange
parsley	green	orange
pig	pink	orange
salad	green	orange
sea	blue	blue
shadow	black	orange
silhouette	black	orange
sky	blue	blue
slate	grey	pink
snow	white	orange
soil	brown	orange
spinach	green	pink
strawberry	red	orange
swan	white	blue
tin	grey	orange
vinyl	black	pink
violin	brown	pink
weed	green	orange
wood	brown	blue
