text,label
"@ @ @ Stated as fact before news outlets even suggested.Still uncertain.Leave news to news pros.Done here.subloke. kellyoxford. obiterdictayo
",0
"@ @ FergusonMO Police Officer is Darren Wilson who shot&amp;killed . Also a video too of Strong Armed robbery.Reuters US. Peoples Report. Mike Brown
",1
"Reports: suspects killed http://Charlie Hebdo
",1
"@ @ @ ??????Natrice R. doctorfullerton. Dave Beninger
",0
"@ Aside from that, yeah.Texas Jew
",1
"@ God's miracles are just inexplicable,who had imagined an executioner would leave his identity card at the crime sceneABC
",1
"“@: Live Updates: Siege in Sydney Cafe"" &gt; GUESS WHO....That's right MUSLIMS http://Sky News
",1
"BREAKING ALERT: Preliminary reports indicate perpetrators appear to be members of .ISIS. Sydney Siege
",1
"BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn http://cdnpoli
",1
"SYDNEY HOSTAGE-TAKER - Man Monis, 49 - Originally from Iran - Self-styled sheikh - Accused of sexually assaulting 7 women DEVELOPING..
",1
": 1 dead, several injured in shootout North-East of Paris (French radio @ ) http://RTL France. BREAKING. Charlie Hebdo
",1
"@ This sounds like pilot suicide.buzzfeednews
",1
"@ @ @ So they're claiming a BLACK cop killed ? ?Ha F ST. DIANAZOGA. Antonio French. Mike Brown
",0
"@ I could tell you but then I'd have to kill you. ;-)Skyla Starx
",0
"@ Not according to what I've just heard on CTV.Dave Beninger
",0
"“@: Several more hostages flee from cafe under siege in Sydney, local media say http://BBC Breaking
",1
"@ they were well known by the French/ why didn't they do anything??? thenNBC News
",0
"“@: A woman in was shot in head last night and released this selfie. http://Michael Skolnik. Ferguson. H Ualum
",1
"@ @ is there a live feed somewhereKiippyy. KEEMSTA Rx
",0
"@ @ One definition? A person that thinks its ok to decapitate innocent journalists / aid workersAhmed Hussain. ummsalama15_
",0
"“@: Report: police beat up wrong suspect then charged him for getting blood on uniforms in 2009 http://TPM. Ferguson
",1
"@ 4 people reported dead of six hostages. Sounding worse . Thnx for updates &amp; links.Daroff
",1
"@ @ good thats a startSky News Break. U Kl P Voter
",0
"@ A sportswoman INDEED, thank God she survived the shooting :')staronline. run. escape. sydneysiege
",1
"@ GERMAN NEWS: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT …’Hero of Islamic State’? http://daxtonbrown
",0
"@ more to come??? more than 2 boys???Telegraph News
",0
"@ you've been late on this story all day..cnnbrk
",1
"@ source?valeriehahn
",0
"@ @ The Flag has arabic writing on it not Islamic writing.News Sydney. News
",0
"@ where you getting the rumours fromShauny News
",0
"“@: In response to inquiries, we can confirm that Prince will not be performing at @ tonight.” @Live Nation ON. masseyhall. Dina Pugliese
",1
"Line of police cars with high beams on greets anyone trying to enter . It's shut down. No media allowed. http://Ferguson
",1
"@ That's an exaggeration, get your facts right.R
",0
"@ Which accounts?Armed Research
",0
"@ @ Yes it is.evening_grace. Telegraph
",1
"@ @ @ @ Has that info came out yet?spants. Tom. rui_xu. flavius217
",0
"@ @ hum...haurry_stvlles. Breaking News
",0
"@ needs to http:// Brown family says, They're rightZerlina Maxwell. THOMASJACKSONMUSTGO. TRENDNOW. FERGUSON. DEVIANT. OUTRAGED
",1
"“@: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson http:// Schaut genau hin!AF Pphoto. AFP
",1
"@ @ @ And the store owner and the pictures say it wasn't. Why does someone who didn't see it matter?tomman191. andybankertv. FO
",0
"The Sydney cafe siege may be part of a larger plot. @ http:// http://News. Martin Place Siege
",1
"@ @ @Troy Bramston. australian. channeltennews
",1
"@ @ Officials have apparently confirmed that the deli is linked to &amp; killing of officer.rachelfromohio. Shiraz Maher. Charlie Hebdo
",0
"@ @ cos it's notXx PL Wx X. BBC World
",0
"@ Have they named the pilot?thatjohn
",0
"Police in plan to release name of officer who shot unarmed teen Michael Brown: http:// http://Ferguson
",1
"“@: Canada's Parliament Hill is on lockdown as police hunt shooting suspect; at least 1 injured http:// O.OBreaking News
",1
"@ @ @ @ Rather then point fingers, why don't you stand united with the rest of Canadians.Daryus Azad. CBC Alerts. CBC News. Justin Trudeau
",0
"People talking about stupid shit like government corruption and harassment when Prince is in Toronto smh
",1
"@ well, not today, for sure.beebobaby
",1
"@ curly wurlys are so much nicer than half avocados dont u think?cnni
",1
"@ @ Who would think otherwise!?!?News Sydney. Mark Steyn Online
",0
"“@: BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn http://Richard Madan. cdnpoli
",0
"@ 😱 why!!!CBC News
",0
"Suspects in attack spoke to police by phone and said they wanted to die as martyrs, says French MP. http://Charlie Hebdo
",1
".@ @ @ Duh, of course it's ""part of a larger plot"", hate ppl of all religionsNews Sydney. Haynes Parker. News. Islamic. terrorists
",1
"Breaking: Two hostage situations in France are linked, Paris prosecutor says
",1
"@ If you don't think there is clear motive in fighting or fleeing from police after robbery, you are a fucking moron.kristinpuhl. Ferguson
",0
"Question for police chief? If OFFICER DARREN WILSON was in pursuit of a robbery suspect, why tell kids to get out of the road? LIEFerguson
",1
".@ Yeah it's the same Johnny F'cknuts who was going to kidnap and kill 2 police in Birmingham, UK last Tuesday.R
",0
"@ @ Why was this mad man not behind bars? UghJoyce Karam. Libya Liberty
",0
"@ @ Extremist rather, no true Muslim will do such nonsense act! The world should know this by now...marcwinger. BBC Breaking
",0
"@ @ Muslims are a problem all around the world and your statement is false and a lie.drusudy. BBC Breaking
",0
"@ @ That guy is much fatter then Michael and olderNBC News. JD Bmsnbc
",0
"@ do you enjoy being consistently wrong or is it really inadvertent?AFP
",0
